Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,23/09/18,FC Emmen,Zwolle,0,1,A,0,1,A,9,12,3,4,14,18,7,7,2,3,0,0,2.7,3.4,2.5,2.7,3.5,2.55,2.65,3.4,2.45,,,,2.62,3.4,2.5,2.7,3.6,2.5,37,2.75,2.66,3.6,3.42,2.55,2.49,33,1.72,1.67,2.28,2.12,18,0.25,1.74,1.7,2.23,2.17,3.05,3.62,2.34
N1,23/09/18,Feyenoord,Utrecht,1,0,H,0,0,D,23,12,9,1,20,11,4,2,1,0,0,0,1.44,4.33,7,1.48,4.4,7,1.45,4.6,5.8,,,,1.47,4.6,5.8,1.45,4.6,6.5,38,1.5,1.46,4.89,4.56,7,6.12,34,1.5,1.44,2.85,2.65,19,-1,1.76,1.72,2.21,2.14,1.4,5.25,7.45
N1,23/09/18,Groningen,AZ Alkmaar,1,3,A,1,1,D,8,21,3,11,8,11,3,7,4,3,2,0,3.5,3.8,1.95,3.8,3.7,1.95,3.4,3.75,1.93,,,,3.3,3.75,2,3.6,3.8,1.95,38,3.8,3.51,3.93,3.68,2.02,1.96,34,1.56,1.52,2.55,2.43,18,0.25,2.25,2.14,1.77,1.72,3.54,3.93,2.02
N1,23/09/18,PSV Eindhoven,Ajax,3,0,H,3,0,H,14,15,8,4,18,12,1,6,3,2,0,0,2.5,3.3,2.8,2.6,3.5,2.6,2.45,3.5,2.6,,,,2.45,3.6,2.6,2.5,3.7,2.63,38,2.61,2.49,3.7,3.49,2.8,2.62,33,1.61,1.59,1.61,1.56,18,-0.25,2.25,2.18,1.75,1.69,2.73,3.79,2.5
N1,29/09/18,Excelsior,VVV Venlo,1,0,H,1,0,H,9,14,2,4,12,10,3,9,2,1,1,0,2.37,3.4,2.87,2.6,3.3,2.75,2.4,3.15,2.75,2.52,3.28,2.93,2.4,3.3,2.88,2.45,3.4,2.88,40,2.6,2.47,3.4,3.27,2.95,2.83,37,2.04,1.96,1.92,1.82,20,0,1.81,1.78,2.13,2.07,2.32,3.6,3.09
N1,29/09/18,For Sittard,Ajax,0,2,A,0,0,D,15,17,5,4,12,12,3,8,2,2,0,0,10,6,1.25,10,6.25,1.26,8.5,5.5,1.25,9.4,6.03,1.28,9.5,6,1.25,11,6.25,1.25,40,11,9.5,6.75,6.02,1.29,1.26,35,1.42,1.36,3.25,3.02,21,1.5,2.19,2.13,1.77,1.73,12.25,7.98,1.19
N1,29/09/18,Heerenveen,Den Haag,1,1,D,1,1,D,11,8,1,2,17,14,2,3,1,3,0,0,1.95,3.75,3.5,2,3.6,3.7,1.9,3.6,3.45,1.96,3.6,3.91,1.95,3.6,3.5,1.93,3.75,3.8,40,2,1.93,3.95,3.67,3.91,3.67,35,1.58,1.51,2.6,2.47,19,-0.75,2.25,2.18,1.76,1.7,2.21,3.66,3.28
N1,29/09/18,NAC Breda,PSV Eindhoven,0,2,A,0,0,D,10,12,2,4,8,11,4,9,3,4,0,0,12,6.5,1.2,10.5,6.25,1.26,10.5,6,1.2,11.1,6.58,1.23,12,6.5,1.2,13,6.5,1.22,40,13,11.29,7,6.37,1.26,1.23,34,1.45,1.4,3.05,2.83,20,2,1.88,1.81,2.15,2.03,9.72,6.6,1.27
N1,30/09/18,AZ Alkmaar,Zwolle,2,2,D,1,1,D,15,9,3,3,11,18,9,0,1,3,0,0,1.44,4.75,6,1.45,4.75,6.5,1.4,4.65,5.75,1.45,5.06,6.2,1.44,4.8,6,1.44,5,6.5,39,1.5,1.44,5.25,4.82,6.7,6.12,34,1.45,1.41,3.05,2.82,20,-1.25,2.04,1.92,1.98,1.92,1.32,5.79,8.95
N1,30/09/18,Feyenoord,Vitesse,2,1,H,0,1,A,19,11,7,5,14,8,9,1,0,2,1,2,1.5,4.5,5.75,1.5,4.6,6,1.5,4.25,5.25,1.52,4.43,6.09,1.53,4.4,5.25,1.53,4.5,5.75,39,1.55,1.51,4.7,4.39,6.09,5.71,35,1.6,1.52,2.55,2.45,22,-1,1.9,1.85,2.05,1.99,1.51,4.39,6.65
